Module path:  Environments.NS_Reco NS_Reco
Dynamically loaded from:  <class 'Environments.NS_Reco.NS_Reco'>
Reward Amplitudes: [4.17022005e-01 7.20324493e-01 1.14374817e-04 3.02332573e-01
 1.46755891e-01] :: Avg 0.317309867282206 
Module path:  Src.Algorithms.ProOLS ProOLS
Dynamically loaded from:  <class 'Src.Algorithms.ProOLS.ProOLS'>
=====Configurations=====
 Namespace(NN_basis_dim='32', Policy_basis_dim='32', actor_lr=0.002855902814944507, algo_name='ProOLS', base=0, batch_size=1000, buffer_size=1000, debug=True, delta=1, entropy_lambda=0.053752942888962034, env_name='NS_Reco', experiment='NS_2d_', extrapolator_basis='Fourier', folder_suffix='Default', fourier_coupled=True, fourier_k=7, fourier_order=3, gamma=0.99, gauss_std=1.5, gpu=0, hyper='default', importance_clip=5.0, inc=1, log_output='term_file', max_episodes=1000, max_inner=30, max_steps=500, optim='rmsprop', oracle=-1, raw_basis=True, restore=False, save_count=100, save_model=True, seed=0, speed=2, state_lr=0.001, summary=True, swarm=False, timestamp='5|30|14:29:57')
Actions space: 5 :: State space: 1
State Low: tensor([0.]) :: State High: tensor([1.])
State features:  [('dummy_param', torch.Size([1]))]
Policy:  [('fc1.weight', torch.Size([5, 1])), ('fc1.bias', torch.Size([5]))]
0 :: Rewards -0.025 :: steps: 0.10 :: Time: 0.001(0.00878/step) :: Entropy : 0.000 :: Grads : [[], []]
10 :: Rewards -0.267 :: steps: 1.00 :: Time: 0.010(0.00959/step) :: Entropy : 0.000 :: Grads : [[0.0059466576, 0.0059466576], []]
20 :: Rewards -0.699 :: steps: 1.00 :: Time: 0.013(0.01319/step) :: Entropy : 0.000 :: Grads : [[0.024234965, 0.024234965], []]
30 :: Rewards -1.652 :: steps: 1.00 :: Time: 0.013(0.01335/step) :: Entropy : 0.000 :: Grads : [[0.004176288, 0.004176288], []]
40 :: Rewards -2.713 :: steps: 1.00 :: Time: 0.013(0.01349/step) :: Entropy : 0.000 :: Grads : [[0.010485606, 0.010485606], []]
50 :: Rewards -3.700 :: steps: 1.00 :: Time: 0.013(0.01288/step) :: Entropy : 0.000 :: Grads : [[0.023596887, 0.023596896], []]
60 :: Rewards -4.497 :: steps: 1.00 :: Time: 0.013(0.01267/step) :: Entropy : 0.000 :: Grads : [[0.04311123, 0.043111227], []]
70 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01295/step) :: Entropy : 0.000 :: Grads : [[0.0068106465, 0.0068106465], []]
80 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01292/step) :: Entropy : 0.000 :: Grads : [[0.0064439923, 0.0064439913], []]
90 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01295/step) :: Entropy : 0.000 :: Grads : [[0.00016089357, 0.00016089351], []]
100 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01307/step) :: Entropy : 0.000 :: Grads : [[0.0002133151, 0.00021331506], []]
110 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01323/step) :: Entropy : 0.000 :: Grads : [[3.7830625e-05, 3.7830632e-05], []]
120 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.015(0.01453/step) :: Entropy : 0.000 :: Grads : [[9.476715e-05, 9.476715e-05], []]
130 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01345/step) :: Entropy : 0.000 :: Grads : [[2.1930525e-06, 2.1930512e-06], []]
140 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.013(0.01345/step) :: Entropy : 0.000 :: Grads : [[9.910484e-06, 9.910483e-06], []]
150 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01370/step) :: Entropy : 0.000 :: Grads : [[7.2549055e-06, 7.254906e-06], []]
160 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01364/step) :: Entropy : 0.000 :: Grads : [[1.08293225e-05, 1.0829322e-05], []]
170 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01378/step) :: Entropy : 0.000 :: Grads : [[3.150441e-06, 3.1504405e-06], []]
180 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01391/step) :: Entropy : 0.000 :: Grads : [[9.841679e-07, 9.841677e-07], []]
190 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01395/step) :: Entropy : 0.000 :: Grads : [[1.2292671e-06, 1.2292672e-06], []]
200 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01421/step) :: Entropy : 0.000 :: Grads : [[3.128303e-07, 3.128303e-07], []]
210 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01413/step) :: Entropy : 0.000 :: Grads : [[2.6755816e-07, 2.6755816e-07], []]
220 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01425/step) :: Entropy : 0.000 :: Grads : [[4.1770522e-07, 4.1770537e-07], []]
230 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01435/step) :: Entropy : 0.000 :: Grads : [[7.233713e-07, 7.233713e-07], []]
240 :: Rewards -4.784 :: steps: 1.00 :: Time: 0.014(0.01443/step) :: Entropy : 0.000 :: Grads : [[1.2867646e-06, 1.2867647e-06], []]
